ID,Body mass (kg),AgeBM
OH35,34.399250722886,1800000.0
OH5,31.4927685024622,1800000.0
OH53,52.377919314936,1800000.0
OH62,30.9114720583775,1770000.0
OH8,37.1396482449998,1800000.0
Obercassel 1,72.7232948579024,11500.0
Obercassel 2,63.1734247050814,11500.0
Ohalo 2,82.5638132327658,21000.0
Omo119-2718,46.0251796045811,4500000.0
Omo75a-1317,37.1396482449998,4500000.0
OmoL 754-8,79.2421192665672,2100000.0
Paglicci 25,69.2770373679714,21000.0
Paglicci I,68.4466138764217,60000.0
Parabita 1,77.2906240614255,11500.0
Parabita 2,74.2595783172693,11500.0
Pataud 4,71.7683078426203,21000.0
Pataud 5,69.8168126374786,21000.0
Paviland,85.594858976922,21000.0
Pavlov 1,86.5498459922041,21000.0
Peking I,44.6134596689467,400000.0
Peking II,38.5513681806343,400000.0
Peking IV,44.3643326214818,400000.0
Peking V,48.3503653809201,400000.0
Peking VI,49.0562253487373,400000.0
Prapina 214,57.4850237879663,100000.0
Predmost10,67.7407539086045,21000.0
Predmost14,74.5087053647341,21000.0
Predmost3,86.965057737979,21000.0
Predmost4,67.2009786390972,21000.0
Predmost9,70.3565879069859,21000.0
Predmosti 1,63.8792846728986,21000.0
Qafzeh 3,56.4054732489518,60000.0
Qafzeh 7,66.6196821950125,60000.0
Qafzeh 8,76.4602005698758,60000.0
Qafzeh 9,70.107460859521,90000.0
Regourdou,77.166060537693,60000.0
Romito 3,76.5847640936083,11500.0
Romito 4,65.7892587034628,11500.0
SK18b,36.3092247534502,1750000.0
SK3155,31.2021202804198,1700000.0
SK3981,29.4167097735881,1700000.0
SK82,48.6410136029625,1700000.0
SK97,54.9937533133173,1700000.0
SKX1084,69.5261644154362,1700000.0
SKX3699,32.8629672635191,1750000.0
STW88,35.4788012619005,1750000.0
Saint Germain-la-Riviere 1,66.0799069255052,21000.0
Saint-Cessire 1,81.3181779954413,60000.0
San Teodoro 1,69.6922491137462,11500.0
San Teodoro 3,67.2009786390972,11500.0
San Teodoro 4,72.7232948579024,11500.0
Shanidar 1,75.6297770783262,60000.0
Shanidar 3,79.2421192665672,60000.0
Shanidar 4,66.9103304170548,60000.0
Shanidar 5,67.7407539086045,60000.0
Shanidar 6,47.6860265876804,60000.0
Skhul 4,65.6646951797304,60000.0
Skhul 5,89.6224129109378,60000.0
Skhul 6,76.1695523478335,60000.0
Skhul 7,59.7271672151504,60000.0
Skhul 9,70.3565879069859,60000.0
Spy 1,58.0663202320511,60000.0
Spy 2,66.2044704492377,60000.0
Spy 3,61.8032259440245,60000.0
Stetten 1,64.9588352119132,60000.0
Sts 41,40.7519904332408,2600000.0
Sts 7,48.765577126695,2600000.0
Sts14,22.6072371428809,2600000.0
Sts34,43.949120875707,2600000.0
Sts73,41.2917657027481,2600000.0
Stw102,31.6173320261946,2750000.0
Stw139,54.5785415675425,2750000.0
Stw25,33.9840389771112,2600000.0
Stw300,42.2882738926077,2600000.0
Stw31,32.3231919940119,2600000.0
Stw311,49.7620853165545,2600000.0
Stw328,34.5238142466184,2600000.0
Stw347,27.7558627904888,2750000.0
Stw358,22.0674618733736,2600000.0
Stw389,51.9627075691611,2600000.0
Stw392,35.7694494839429,2600000.0
Stw396,59.7271672151504,2600000.0
Stw431,55.4089650590922,2600000.0
Stw443,46.6895183978208,2600000.0
Stw457a,43.949120875707,2750000.0
Stw463,24.4341688242902,2750000.0
Stw479,21.9428983496412,2750000.0
Stw8,28.2956380599961,2600000.0
Stw99,61.0973659762073,2600000.0
TM1513,41.1672021790156,1700000.0
TM1517,35.2296742144356,1750000.0
Tabum 1,46.8556030961308,100000.0
Tagliente I,57.9002355337411,60000.0
Trinil I,47.1047301435956,650000.0
Trinil II,44.6134596689467,650000.0
Trinil III,40.2122151637336,650000.0
Trinil IV,44.0736843994394,590000.0
Trinil V,41.0426386552832,650000.0
Veryier,69.5261644154362,11500.0
WT 15000,57.6511084862762,1500000.0
Zhoukoudian FelV,51.1322840776115,440000.0
stw433,41.457850401058,2750000.0
