ID,Taxon used,Taxon,AgeCC,minCC,maxCC,meanCC,Taxon2,Specie1,Specie2
Cro-Magnon 2,hs,hs,30,1402.0,,1402.0,hs,Homo sapiens,Homo sapiens
Cro-Magnon 3,hs,hs,30,1730.0,,1730.0,hs,Homo sapiens,Homo sapiens
Dali 1 (Ta-li),ahs,he. he-n. ahs. hs,205,1160.0,,1160.0,he. he-n. ahs. hs,Archaic Homo sapiens,Archaic Homo sapiens
Dmanisi A,h,h,1800,775.0,780.0,777.5,h,Homo,Homo
Dmanisi B,h,h,1800,650.0,,650.0,h,Homo,Homo
Dolni Vestonice 3,hs,hs,26,1307.5,,1307.5,hs,Homo sapiens,Homo sapiens
ER1470,hh,aa-hh. h. hh. hrud,1890,776.0,,776.0,aa-hh. h. hh. hrud,Homo habilis,Homo habilis
ER1590 (juv. 8 year old),aa,aa-hh. hh,1850,782.5,,782.5,aa-hh. hh,Australopithecus africanus,A. africanus
ER1805,hh,a. aa-hh. hh,1850,591.0,700.0,616.0,a. aa-hh. hh,Homo habilis,Homo habilis
ER1813,hh,aa-hh. habiline. hh,1890,506.3333333333333,,506.3333333333333,aa-hh. habiline. hh,Homo habilis,Homo habilis
ER23000,ab,ab,1900,491.0,,491.0,ab,Australopithecus boisei,A. boisei
ER3732,hh,habiline. hh,1890,622.5,,622.5,habiline. hh,Homo habilis,Homo habilis
ER3733 (Koobi Fora),he,he. early hs. herg,1780,820.4,850.0,825.4,he. early hs. herg,Homo erectus,Homo erectus
ER3883,he,he. early hs,1570,817.3333333333334,850.0,825.6666666666666,he. early hs,Homo erectus,Homo erectus
ER406 (FS-158) male (Koobi Fora) KNM-ER 406,ab,ab-ar. ab,1640,518.3333333333334,,518.3333333333334,ab-ar. ab,Australopithecus boisei,A. boisei
ER407 (FS-210) (Koobi Fora) KNM-ER 407,ab,ab,1640,508.0,,508.0,ab,Australopithecus boisei,A. boisei
ER732 (FS-160) (Koobi Fora) KNM-ER 732,ab,ab-ar. ab,1640,503.0,,503.0,ab-ar. ab,Australopithecus boisei,A. boisei
ER736 (possible confusion with ER732),ar,ar,1640,504.0,,504.0,ar,Australopithecus robustus,A. robustus
Ehringsdorf 9,n,n,203,1450.0,,1450.0,n,Neandertal,Neandertal
Eyasi,ahs,ahs,35,1220.0,1250.0,1235.0,ahs,Archaic Homo sapiens,Archaic Homo sapiens
Fish Hoek 1 (Skildergat cave),hs,hs,14,1575.0,,1575.0,hs,Homo sapiens,Homo sapiens
Florisbad 1,hs,hs-n. ahs,150,1280.0,,1280.0,hs-n. ahs,Homo sapiens,Homo sapiens
Fontéchevade 2,n,n. pre sapiens,160,1420.0,,1420.0,n. pre sapiens,Neandertal,Neandertal
Galilee,n,n,40,1400.0,,1400.0,n,Neandertal,Neandertal
Gamble’s Cave,hs,hs,10,1500.0,,1500.0,hs,Homo sapiens,Homo sapiens
Gamble’s Cave 4,hs,hs,10,1470.0,,1470.0,hs,Homo sapiens,Homo sapiens
Gamble’s Cave 5,hs,hs,10,1530.0,,1530.0,hs,Homo sapiens,Homo sapiens
Ganovce 1,n,n,50,1320.0,,1320.0,n,Neandertal,Neandertal
Gibraltar 1 (Forbes’ Quarry),n,n,60,1226.75,,1226.75,n,Neandertal,Neandertal
Gibraltar 2 (adult),n,n,25,1650.0,,1650.0,n,Neandertal,Neandertal
Gibraltar 2 (child),n,n,25,1350.0,,1350.0,n,Neandertal,Neandertal
Gongwangling 1 (Lantian I. Lantian 2),he,he,1150,777.6666666666666,783.0,779.0,he,Homo erectus,Homo erectus
Grotte des Enfants 4 (Grimaldi),hs,hs,28,1745.0,,1745.0,hs,Homo sapiens,Homo sapiens
Grotte des Enfants 5 (Grimaldi),hs,hs,28,1446.5,,1446.5,hs,Homo sapiens,Homo sapiens
Grotte des Enfants 6 (Grimaldi),hs,hs,28,1540.0,,1540.0,hs,Homo sapiens,Homo sapiens
Hexian (PA 830),he,he,250,1000.0,,1000.0,he,Homo erectus,Homo erectus
Hexian I (PA 830),he,he,250,1025.0,,1025.0,he,Homo erectus,Homo erectus
Jebel Irhoud 1 (Djebel Irhoud I) (Jebel Ighoud 1),n,n. n-hs,100,1426.25,,1426.25,n. n-hs,Neandertal,Neandertal
